Score_Comercial,Es_Desarrollo_Propio,Precio_Confiable,Municipio,Colonia,Operación,Tipo,Título/Colonia,Precio,precio_m2,precio_m2_vs_mediana,Recámaras,Baños,m²,Completitud,codigo_eb,Liga,lat,lon
69.6,,True,Zapopan,Bugambilias,VENTA,Casa en condominio,Casa En Venta En Bugambilias 2da Seccion Condominio Vistas Del Sol,19500000.0,18571.428571428572,0.5472108843537414,3.0,5.0,1050.0,1.0,EB-PQ7376,https://www.aciertamax.com/property/casa-en-venta-en-bugambilias-2da-seccion-condominio-vistas-del-sol,20.6118814,-103.4581974
69.6,,True,Guadalajara,Country Club,VENTA,Departamento,Departamento totalmente remodelado en renta | Zona Country Club | GDL,7500000.0,30000.0,0.5458607095926413,2.0,2.0,250.0,1.0,EB-WL8286,https://www.aciertamax.com/property/departamento-totalmente-remodelado-en-renta-zona-country-club-gdl,20.6998052,-103.3688085
69.4,,True,Zapopan,Jardines Universidad,RENTA,Oficina,Casa acondicionada para oficinas a puerta cerrada,49000.0,184.9056603773585,0.6807944389275075,,2.0,265.0,0.75,EB-WS3763,https://www.aciertamax.com/property/casa-acondicionada-para-oficinas-a-puerta-cerrada,20.6897524,-103.4223612
69.4,,True,Guadalajara,Jardines del Nilo,VENTA,Departamento,"Penthouse Gran Tamayo en Gran San Rafael, Guadalajara",4540000.0,30266.666666666668,0.5418239159001313,3.0,2.0,150.0,1.0,EB-WS0398,https://www.aciertamax.com/property/penthouse-gran-tamayo-en-gran-san-rafael-guadalajara,20.6483894,-103.2948373
69.3,,True,Tonalá,Hipódromo,VENTA,Casa con uso de suelo,CASA/ DEPARTAMENTOS CON 2 LOCALES,3690000.0,9685.03937007874,0.5399606299212598,3.0,2.0,381.0,1.0,EB-OP5728,https://www.aciertamax.com/property/casa-departamentos-con-2-locales,20.5956041393,-103.2269543397
69.3,,True,Guadalajara,Rancho Nuevo 1ra. Sección,VENTA,Casa,"Edificio en venta ideal para inversionistas en Col. Rancho Nuevo, Guadalajara",4090000.0,12584.615384615385,0.539549048103746,6.0,6.0,325.0,1.0,EB-QX6840,https://www.aciertamax.com/property/edificio-en-venta-ideal-para-inversionistas-en-col-rancho-nuevo-guadalajara,20.7210006,-103.3312962
69.3,,True,Zapopan,Rinconada de los Novelistas,VENTA,Departamento,Penthouse con rooftop privado en Zapopan | Precio especial por tiempo limitado,12000000.0,32876.71232876712,0.5398962657789221,5.0,3.0,365.0,1.0,EB-ON0344,https://www.aciertamax.com/property/rooftop-y-departamento-en-venta-en-guadalajara,20.683809,-103.4307314
69.2,,True,Zapopan,Las Cañadas,VENTA,Casa en condominio,CASA EN VENTA BAJA DE PRECIO UBICADA EN LAS CAÑADAS,11000000.0,18965.51724137931,0.5376026272577996,5.0,4.0,580.0,1.0,EB-VB0932,https://www.aciertamax.com/property/casa-en-venta-ubicada-en-las-canadas,20.7831443,-103.3643018
69.2,,True,Tlajomulco de Zúñiga,Balcones de La Calera,VENTA,Casa,Casa en Venta,4480000.0,12451.70794074321,0.538479398198639,4.0,3.0,359.79,1.0,EB-TC9344,https://www.aciertamax.com/property/casa-en-venta-balcones-de-la-calera,20.4523323183,-103.257767271
69.2,,True,Guadalajara,Lomas Del Gallo,VENTA,Local comercial,Salon de eventos cerca del parque de la Solidaridad,12000000.0,10452.961672473868,0.676428209873402,,6.0,1148.0,0.75,EB-PU2074,https://www.aciertamax.com/property/salon-de-eventos-cerca-del-parque-de-la-solidaridad,20.6754935,-103.2696837
